event_id,timestamp,chain_id,scenario,stage,source,identity,asset,action,location,device_trust,mfa_strength,token_age_minutes,privilege_level,data_volume_mb,tool_risk,is_attack,mitre_technique,agentic_risk
evt-fe1720de5a90,2026-06-01T09:31:00Z,normal-0013,normal_activity,Benign,Cloud,user-014,analytics-warehouse,run_approved_query,DE,0.988,2,34,2,7.925,0.193,0,—,—
evt-50dbdbf6e964,2026-06-01T09:41:00Z,normal-0014,normal_activity,Benign,Cloud,user-015,analytics-warehouse,run_approved_query,SG,0.999,2,29,2,9.968,0.199,0,—,—
evt-4cf9f9096dee,2026-06-01T09:48:00Z,normal-0015,normal_activity,Benign,SaaS,user-016,document-store,read_project_document,AU,0.782,2,4,1,1.503,0.058,0,—,—
evt-74085daed858,2026-06-01T09:52:00Z,normal-0016,normal_activity,Benign,SaaS,user-017,document-store,read_project_document,IN,0.939,2,37,1,0.611,0.109,0,—,—
evt-4bebda3fbd79,2026-06-01T10:02:00Z,normal-0017,normal_activity,Benign,Cloud,user-018,analytics-warehouse,run_approved_query,IN,0.97,1,7,2,6.604,0.023,0,—,—
evt-1bcd3b83a85f,2026-06-01T10:08:00Z,normal-0018,normal_activity,Benign,SaaS,user-019,document-store,read_project_document,US,0.841,2,5,1,0.834,0.103,0,—,—
evt-a20974502202,2026-06-01T10:17:00Z,normal-0019,normal_activity,Benign,SaaS,user-020,document-store,read_project_document,US,0.817,2,14,1,3.982,0.192,0,—,—
evt-783617761ac4,2026-06-01T10:20:00Z,normal-0020,normal_activity,Benign,GitHub,user-021,engineering-repo,list_assigned_issues,GB,0.873,2,36,1,0.842,0.149,0,—,—
evt-b72d249e49ac,2026-06-01T10:30:00Z,normal-0021,normal_activity,Benign,GitHub,user-022,engineering-repo,list_assigned_issues,DE,0.793,2,33,1,1.941,0.203,0,—,—
evt-b2836477a1fa,2026-06-01T10:38:00Z,normal-0022,normal_activity,Benign,SaaS,user-023,document-store,read_project_document,SG,0.869,2,37,1,5.773,0.062,0,—,—
evt-e7d1ba5708d8,2026-06-01T10:45:00Z,normal-0023,normal_activity,Benign,GitHub,user-024,engineering-repo,list_assigned_issues,AU,0.825,2,16,1,1.349,0.066,0,—,—
evt-23dea66fa439,2026-06-01T10:49:00Z,normal-0024,normal_activity,Benign,Cloud,user-025,analytics-warehouse,run_approved_query,IN,0.917,2,7,2,10.774,0.025,0,—,—
evt-c4fbaf5adbf7,2026-06-01T10:56:00Z,normal-0025,normal_activity,Benign,GitHub,user-026,engineering-repo,list_assigned_issues,IN,0.815,2,20,1,0.763,0.138,0,—,—
evt-adaa3adc96d4,2026-06-01T11:06:00Z,normal-0026,normal_activity,Benign,SaaS,user-027,document-store,read_project_document,US,0.838,2,36,1,4.939,0.043,0,—,—
evt-cc8ec69be5e7,2026-06-01T11:11:00Z,normal-0027,normal_activity,Benign,Cloud,user-028,analytics-warehouse,run_approved_query,US,0.835,2,4,2,9.245,0.029,0,—,—
evt-5990e2509e42,2026-06-01T11:19:00Z,normal-0028,normal_activity,Benign,SaaS,user-029,document-store,read_project_document,GB,0.943,2,28,1,0.456,0.128,0,—,—
evt-1836f3988280,2026-06-01T11:23:00Z,normal-0029,normal_activity,Benign,AI Agent,user-030,support-agent,agent_summarize_ticket,DE,0.902,2,3,1,1.268,0.075,0,—,—
evt-ce2025c7707a,2026-06-01T11:30:00Z,normal-0030,normal_activity,Benign,Cloud,user-031,analytics-warehouse,run_approved_query,SG,0.994,2,16,2,2.336,0.192,0,—,—
evt-79e9373c83f5,2026-06-01T11:38:00Z,normal-0031,normal_activity,Benign,SaaS,user-032,document-store,read_project_document,AU,0.839,2,7,1,0.344,0.09,0,—,—
evt-8efdb819d577,2026-06-01T11:44:00Z,normal-0032,normal_activity,Benign,SaaS,user-033,document-store,read_project_document,IN,0.829,2,26,1,1.49,0.079,0,—,—
evt-914099079846,2026-06-01T11:51:00Z,normal-0033,normal_activity,Benign,AI Agent,user-034,support-agent,agent_summarize_ticket,IN,0.853,1,17,1,1.474,0.047,0,—,—
evt-b52f32a6d331,2026-06-01T12:00:00Z,normal-0034,normal_activity,Benign,AI Agent,user-035,support-agent,agent_summarize_ticket,US,0.805,2,13,1,0.711,0.063,0,—,—
evt-f99ac3887bb3,2026-06-01T12:08:00Z,normal-0035,normal_activity,Benign,SaaS,user-036,document-store,read_project_document,US,0.86,1,22,1,5.568,0.141,0,—,—
evt-28a7aec27e1c,2026-06-01T12:12:00Z,normal-0036,normal_activity,Benign,GitHub,user-037,engineering-repo,list_assigned_issues,GB,0.902,2,25,1,0.688,0.152,0,—,—
evt-d98647f5e8c6,2026-06-01T12:20:00Z,normal-0037,normal_activity,Benign,Cloud,user-038,analytics-warehouse,run_approved_query,DE,0.953,2,21,2,1.005,0.108,0,—,—
evt-b50c515ea0a6,2026-06-01T12:29:00Z,normal-0038,normal_activity,Benign,Identity,user-039,workforce-sso,interactive_login,SG,0.842,2,22,1,0.676,0.03,0,—,—
evt-c05900be3468,2026-06-01T12:34:00Z,normal-0039,normal_activity,Benign,Cloud,user-040,analytics-warehouse,run_approved_query,AU,0.914,2,30,2,1.318,0.097,0,—,—
evt-15a255dea65e,2026-06-01T12:44:00Z,normal-0040,normal_activity,Benign,Identity,user-001,workforce-sso,interactive_login,IN,0.976,2,7,1,0.194,0.173,0,—,—
evt-16555b647814,2026-06-01T12:48:00Z,normal-0041,normal_activity,Benign,Identity,user-002,workforce-sso,interactive_login,IN,0.88,2,34,1,0.176,0.217,0,—,—
evt-24e152e83d18,2026-06-01T12:58:00Z,normal-0042,normal_activity,Benign,Cloud,user-003,analytics-warehouse,run_approved_query,US,0.963,2,11,2,11.595,0.166,0,—,—
evt-350a6d8f5744,2026-06-01T13:04:00Z,normal-0043,normal_activity,Benign,Cloud,user-004,analytics-warehouse,run_approved_query,US,0.918,2,5,2,4.605,0.16,0,—,—
evt-1dd4b3a70e19,2026-06-01T13:09:00Z,normal-0044,normal_activity,Benign,SaaS,user-005,document-store,read_project_document,GB,0.935,1,27,1,2.054,0.079,0,—,—
evt-48bbd021f915,2026-06-01T13:18:00Z,normal-0045,normal_activity,Benign,Identity,user-006,workforce-sso,interactive_login,DE,0.968,2,25,1,0.416,0.11,0,—,—
evt-41273c89cfad,2026-06-01T13:24:00Z,normal-0046,normal_activity,Benign,AI Agent,user-007,support-agent,agent_summarize_ticket,SG,0.956,2,32,1,0.854,0.056,0,—,—
evt-25de437cb5c3,2026-06-01T13:32:00Z,normal-0047,normal_activity,Benign,Cloud,user-008,analytics-warehouse,run_approved_query,AU,0.982,2,35,2,11.376,0.016,0,—,—
evt-9730559ca576,2026-06-01T13:39:00Z,normal-0048,normal_activity,Benign,SaaS,user-009,document-store,read_project_document,IN,0.791,2,14,1,4.045,0.105,0,—,—
evt-7c050c995645,2026-06-01T13:45:00Z,normal-0049,normal_activity,Benign,Identity,user-010,workforce-sso,interactive_login,IN,0.883,2,4,1,0.761,0.22,0,—,—
evt-a32ed9e6cf6a,2026-06-01T13:52:00Z,normal-0050,normal_activity,Benign,SaaS,user-011,document-store,read_project_document,US,0.824,1,10,1,0.598,0.06,0,—,—
evt-20a02ad3b6e1,2026-06-01T14:00:00Z,normal-0051,normal_activity,Benign,SaaS,user-012,document-store,read_project_document,US,0.913,2,8,1,3.471,0.173,0,—,—
evt-ad04f56d2045,2026-06-01T14:05:00Z,normal-0052,normal_activity,Benign,Cloud,user-013,analytics-warehouse,run_approved_query,GB,0.867,2,5,2,5.055,0.134,0,—,—
evt-2b44b3047fa2,2026-06-01T14:12:00Z,normal-0053,normal_activity,Benign,AI Agent,user-014,support-agent,agent_summarize_ticket,DE,0.952,2,28,1,0.269,0.149,0,—,—
evt-975e82524224,2026-06-01T14:18:00Z,normal-0054,normal_activity,Benign,GitHub,user-015,engineering-repo,list_assigned_issues,SG,0.92,2,10,1,1.714,0.101,0,—,—
evt-bdbb3eb8aa86,2026-06-01T14:29:00Z,normal-0055,normal_activity,Benign,Cloud,user-016,analytics-warehouse,run_approved_query,AU,0.962,2,21,2,7.996,0.189,0,—,—
evt-26f4407f23cb,2026-06-01T14:32:00Z,normal-0056,normal_activity,Benign,GitHub,user-017,engineering-repo,list_assigned_issues,IN,0.786,2,12,1,1.526,0.112,0,—,—
evt-ccfb94d69621,2026-06-01T14:41:00Z,normal-0057,normal_activity,Benign,Identity,user-018,workforce-sso,interactive_login,IN,0.894,2,16,1,0.798,0.161,0,—,—
evt-ad204837eed2,2026-06-01T14:49:00Z,normal-0058,normal_activity,Benign,Identity,user-019,workforce-sso,interactive_login,US,0.8,2,16,1,0.555,0.074,0,—,—
evt-6609b9d635f4,2026-06-01T14:57:00Z,normal-0059,normal_activity,Benign,GitHub,user-020,engineering-repo,list_assigned_issues,US,0.935,2,17,1,0.753,0.058,0,—,—
evt-96750776d2b1,2026-06-01T15:01:00Z,normal-0060,normal_activity,Benign,Cloud,user-021,analytics-warehouse,run_approved_query,GB,0.841,2,34,2,9.972,0.135,0,—,—
evt-821d03537bba,2026-06-01T15:07:00Z,normal-0061,normal_activity,Benign,SaaS,user-022,document-store,read_project_document,DE,0.84,2,36,1,1.918,0.071,0,—,—
evt-437cc426be4c,2026-06-01T15:15:00Z,normal-0062,normal_activity,Benign,Cloud,user-023,analytics-warehouse,run_approved_query,SG,0.877,2,4,2,1.159,0.063,0,—,—
evt-6db648df0ec9,2026-06-01T15:24:00Z,normal-0063,normal_activity,Benign,SaaS,user-024,document-store,read_project_document,AU,0.813,2,20,1,0.579,0.028,0,—,—
evt-6617fd3e8e63,2026-06-01T15:29:00Z,normal-0064,normal_activity,Benign,AI Agent,user-025,support-agent,agent_summarize_ticket,IN,0.864,2,20,1,0.416,0.191,0,—,—
evt-c743283add12,2026-06-01T15:38:00Z,normal-0065,normal_activity,Benign,SaaS,user-026,document-store,read_project_document,IN,0.918,2,6,1,3.802,0.043,0,—,—
evt-63ece29c5778,2026-06-01T15:43:00Z,normal-0066,normal_activity,Benign,Identity,user-027,workforce-sso,interactive_login,US,0.831,2,30,1,0.552,0.025,0,—,—
evt-b38d4ab40898,2026-06-01T15:50:00Z,normal-0067,normal_activity,Benign,Cloud,user-028,analytics-warehouse,run_approved_query,US,0.805,2,10,2,9.595,0.201,0,—,—
evt-4f14e6d1994d,2026-06-01T15:57:00Z,normal-0068,normal_activity,Benign,GitHub,user-029,engineering-repo,list_assigned_issues,GB,0.877,2,20,1,0.684,0.157,0,—,—
evt-feb4089581c1,2026-06-01T16:05:00Z,normal-0069,normal_activity,Benign,GitHub,user-030,engineering-repo,list_assigned_issues,DE,0.913,1,15,1,0.253,0.212,0,—,—
evt-c11e45d1ce4d,2026-06-01T16:14:00Z,normal-0070,normal_activity,Benign,SaaS,user-031,document-store,read_project_document,SG,0.884,2,18,1,0.32,0.048,0,—,—
evt-290d31b6a796,2026-06-01T16:21:00Z,normal-0071,normal_activity,Benign,GitHub,user-032,engineering-repo,list_assigned_issues,AU,0.927,2,22,1,1.941,0.096,0,—,—
evt-9be618cea42d,2026-06-01T16:27:00Z,normal-0072,normal_activity,Benign,GitHub,user-033,engineering-repo,list_assigned_issues,IN,0.836,2,26,1,1.646,0.192,0,—,—
evt-4085db617a37,2026-06-01T16:31:00Z,normal-0073,normal_activity,Benign,Cloud,user-034,analytics-warehouse,run_approved_query,IN,0.918,2,14,2,3.439,0.066,0,—,—
evt-32a74f81fb17,2026-06-01T16:39:00Z,normal-0074,normal_activity,Benign,AI Agent,user-035,support-agent,agent_summarize_ticket,US,0.956,2,20,1,1.462,0.126,0,—,—
evt-6ef10d797ec1,2026-06-01T16:49:00Z,normal-0075,normal_activity,Benign,SaaS,user-036,document-store,read_project_document,US,0.89,2,33,1,1.503,0.158,0,—,—
evt-7491cb8aa1e8,2026-06-01T16:55:00Z,normal-0076,normal_activity,Benign,AI Agent,user-037,support-agent,agent_summarize_ticket,GB,0.892,2,5,1,0.637,0.068,0,—,—
evt-0f17638ad23e,2026-06-01T17:02:00Z,normal-0077,normal_activity,Benign,AI Agent,user-038,support-agent,agent_summarize_ticket,DE,0.908,2,10,1,1.116,0.104,0,—,—
evt-5a58af68daa5,2026-06-01T17:09:00Z,normal-0078,normal_activity,Benign,SaaS,user-039,document-store,read_project_document,SG,0.996,2,25,1,3.401,0.059,0,—,—
evt-b7768bdd7bc7,2026-06-01T17:16:00Z,normal-0079,normal_activity,Benign,SaaS,user-040,document-store,read_project_document,AU,0.889,1,33,1,4.519,0.213,0,—,—
evt-cfd3ce0453bf,2026-06-01T17:22:00Z,normal-0080,normal_activity,Benign,SaaS,user-001,document-store,read_project_document,IN,0.87,2,10,1,5.27,0.026,0,—,—
evt-16b33973cda2,2026-06-01T17:29:00Z,normal-0081,normal_activity,Benign,AI Agent,user-002,support-agent,agent_summarize_ticket,IN,0.864,2,32,1,1.293,0.193,0,—,—
evt-2c9db8177229,2026-06-01T17:34:00Z,normal-0082,normal_activity,Benign,Identity,user-003,workforce-sso,interactive_login,US,0.875,2,7,1,0.617,0.103,0,—,—
evt-a9f96cafd4fc,2026-06-01T17:43:00Z,normal-0083,normal_activity,Benign,SaaS,user-004,document-store,read_project_document,US,0.834,2,12,1,0.467,0.046,0,—,—
evt-197973b34d3f,2026-06-01T17:48:00Z,normal-0084,normal_activity,Benign,SaaS,user-005,document-store,read_project_document,GB,0.881,2,17,1,2.419,0.15,0,—,—
evt-d15f83b13459,2026-06-01T17:58:00Z,normal-0085,normal_activity,Benign,AI Agent,user-006,support-agent,agent_summarize_ticket,DE,0.846,2,17,1,0.584,0.106,0,—,—
evt-9ad6f979b29e,2026-06-01T18:04:00Z,normal-0086,normal_activity,Benign,AI Agent,user-007,support-agent,agent_summarize_ticket,SG,0.845,2,2,1,0.901,0.215,0,—,—
evt-8940ae189835,2026-06-01T18:12:00Z,normal-0087,normal_activity,Benign,AI Agent,user-008,support-agent,agent_summarize_ticket,AU,0.944,2,19,1,0.169,0.173,0,—,—
evt-5527b555a830,2026-06-01T18:17:00Z,normal-0088,normal_activity,Benign,SaaS,user-009,document-store,read_project_document,IN,0.918,2,3,1,2.243,0.075,0,—,—
evt-d9a11e69023d,2026-06-01T18:26:00Z,normal-0089,normal_activity,Benign,Cloud,user-010,analytics-warehouse,run_approved_query,IN,0.819,2,35,2,12.825,0.194,0,—,—
evt-2cc65d8d51f7,2026-06-01T18:32:00Z,normal-0090,normal_activity,Benign,Cloud,user-011,analytics-warehouse,run_approved_query,US,0.993,2,22,2,4.341,0.179,0,—,—
evt-843e8935e96a,2026-06-01T18:40:00Z,normal-0091,normal_activity,Benign,Cloud,user-012,analytics-warehouse,run_approved_query,US,0.993,2,24,2,12.182,0.029,0,—,—
evt-3efed0b7afbd,2026-06-01T18:47:00Z,normal-0092,normal_activity,Benign,AI Agent,user-013,support-agent,agent_summarize_ticket,GB,0.864,2,24,1,1.041,0.033,0,—,—
evt-359c3c24f5c8,2026-06-01T18:52:00Z,normal-0093,normal_activity,Benign,Identity,user-014,workforce-sso,interactive_login,DE,0.92,2,20,1,0.471,0.146,0,—,—
evt-b60d5c862dce,2026-06-01T18:58:00Z,normal-0094,normal_activity,Benign,AI Agent,user-015,support-agent,agent_summarize_ticket,SG,0.81,2,35,1,0.236,0.098,0,—,—
evt-87dc0aedd98e,2026-06-01T19:06:00Z,normal-0095,normal_activity,Benign,GitHub,user-016,engineering-repo,list_assigned_issues,AU,0.787,2,29,1,1.684,0.103,0,—,—
evt-b2df1ded9209,2026-06-01T19:13:00Z,normal-0096,normal_activity,Benign,GitHub,user-017,engineering-repo,list_assigned_issues,IN,0.793,2,8,1,1.403,0.209,0,—,—
evt-2cfcb4c7164d,2026-06-01T19:22:00Z,normal-0097,normal_activity,Benign,GitHub,user-018,engineering-repo,list_assigned_issues,IN,0.834,2,37,1,1.315,0.053,0,—,—
evt-cb60df8977fb,2026-06-01T19:30:00Z,normal-0098,normal_activity,Benign,AI Agent,user-019,support-agent,agent_summarize_ticket,US,0.781,2,10,1,0.307,0.217,0,—,—
evt-085226b9497f,2026-06-01T19:37:00Z,normal-0099,normal_activity,Benign,SaaS,user-020,document-store,read_project_document,US,0.91,1,17,1,1.212,0.021,0,—,—
evt-0286dff20198,2026-06-01T19:43:00Z,normal-0100,normal_activity,Benign,Identity,user-021,workforce-sso,interactive_login,GB,0.879,2,3,1,0.526,0.163,0,—,—
evt-06dddb93db57,2026-06-01T19:51:00Z,normal-0101,normal_activity,Benign,Cloud,user-022,analytics-warehouse,run_approved_query,DE,0.931,2,29,2,13.982,0.025,0,—,—
evt-8f24ad508823,2026-06-01T19:54:00Z,normal-0102,normal_activity,Benign,GitHub,user-023,engineering-repo,list_assigned_issues,SG,0.864,2,19,1,0.34,0.105,0,—,—
evt-724bfc0e39bc,2026-06-01T20:05:00Z,normal-0103,normal_activity,Benign,AI Agent,user-024,support-agent,agent_summarize_ticket,AU,0.939,2,29,1,1.329,0.196,0,—,—
evt-b7d0e95ff359,2026-06-01T20:11:00Z,normal-0104,normal_activity,Benign,GitHub,user-025,engineering-repo,list_assigned_issues,IN,0.862,2,31,1,0.89,0.024,0,—,—
evt-8ba27c30c5f6,2026-06-01T20:15:00Z,normal-0105,normal_activity,Benign,AI Agent,user-026,support-agent,agent_summarize_ticket,IN,0.99,2,8,1,0.879,0.096,0,—,—
evt-9a90f7ecb37e,2026-06-01T20:25:00Z,normal-0106,normal_activity,Benign,AI Agent,user-027,support-agent,agent_summarize_ticket,US,0.892,2,31,1,0.592,0.057,0,—,—
evt-b117f58f5291,2026-06-01T20:29:00Z,normal-0107,normal_activity,Benign,Cloud,user-028,analytics-warehouse,run_approved_query,US,0.966,2,36,2,4.621,0.016,0,—,—
evt-4c532acdc4de,2026-06-01T20:38:00Z,normal-0108,normal_activity,Benign,SaaS,user-029,document-store,read_project_document,GB,0.971,2,26,1,1.785,0.025,0,—,—
evt-303f50b8db00,2026-06-01T20:43:00Z,normal-0109,normal_activity,Benign,GitHub,user-030,engineering-repo,list_assigned_issues,DE,0.939,2,37,1,0.815,0.135,0,—,—
evt-c30176b3f566,2026-06-01T20:50:00Z,normal-0110,normal_activity,Benign,Cloud,user-031,analytics-warehouse,run_approved_query,SG,0.887,2,18,2,2.061,0.055,0,—,—
evt-192e7367b710,2026-06-01T21:01:00Z,normal-0111,normal_activity,Benign,GitHub,user-032,engineering-repo,list_assigned_issues,AU,0.79,2,4,1,0.638,0.012,0,—,—
evt-d9ff14ad0fa7,2026-06-01T21:06:00Z,normal-0112,normal_activity,Benign,Cloud,user-033,analytics-warehouse,run_approved_query,IN,0.944,2,25,2,4.763,0.122,0,—,—
evt-5ef8aba6fcf8,2026-06-01T21:12:00Z,normal-0113,normal_activity,Benign,Identity,user-034,workforce-sso,interactive_login,IN,0.876,2,5,1,0.5,0.191,0,—,—
evt-ca1be2f51e55,2026-06-01T21:22:00Z,normal-0114,normal_activity,Benign,GitHub,user-035,engineering-repo,list_assigned_issues,US,0.818,2,30,1,1.316,0.185,0,—,—
evt-98b444ee73e4,2026-06-01T21:27:00Z,normal-0115,normal_activity,Benign,Cloud,user-036,analytics-warehouse,run_approved_query,US,0.972,2,15,2,8.655,0.08,0,—,—
evt-f2d5e0d0a61a,2026-06-01T21:33:00Z,normal-0116,normal_activity,Benign,GitHub,user-037,engineering-repo,list_assigned_issues,GB,0.94,2,10,1,1.108,0.06,0,—,—
evt-2f130ab9ec21,2026-06-01T21:40:00Z,normal-0117,normal_activity,Benign,Cloud,user-038,analytics-warehouse,run_approved_query,DE,0.882,2,38,2,10.869,0.104,0,—,—
evt-4e0758133c24,2026-06-01T21:50:00Z,normal-0118,normal_activity,Benign,Cloud,user-039,analytics-warehouse,run_approved_query,SG,0.795,2,20,2,13.623,0.177,0,—,—
evt-300a0f72fefc,2026-06-01T21:57:00Z,normal-0119,normal_activity,Benign,GitHub,user-040,engineering-repo,list_assigned_issues,AU,0.797,2,6,1,0.69,0.139,0,—,—
evt-74db8b6f8b8b,2026-06-01T22:04:00Z,normal-0120,normal_activity,Benign,AI Agent,user-001,support-agent,agent_summarize_ticket,IN,0.923,2,31,1,0.157,0.115,0,—,—
evt-fd17625d734d,2026-06-01T22:07:00Z,normal-0121,normal_activity,Benign,SaaS,user-002,document-store,read_project_document,IN,0.789,2,29,1,4.904,0.12,0,—,—
evt-9b3e3c3de3e6,2026-06-01T22:18:00Z,normal-0122,normal_activity,Benign,AI Agent,user-003,support-agent,agent_summarize_ticket,US,0.792,2,22,1,0.574,0.024,0,—,—
evt-9cf6b966d74f,2026-06-01T22:21:00Z,normal-0123,normal_activity,Benign,AI Agent,user-004,support-agent,agent_summarize_ticket,US,0.972,2,38,1,1.45,0.149,0,—,—
evt-1393d97d92d3,2026-06-01T22:30:00Z,normal-0124,normal_activity,Benign,Identity,user-005,workforce-sso,interactive_login,GB,0.848,2,22,1,0.31,0.181,0,—,—
evt-8e43da6ae37a,2026-06-01T22:39:00Z,normal-0125,normal_activity,Benign,SaaS,user-006,document-store,read_project_document,DE,0.855,2,13,1,4.089,0.058,0,—,—
evt-f21466dd5888,2026-06-01T22:43:00Z,normal-0126,normal_activity,Benign,AI Agent,user-007,support-agent,agent_summarize_ticket,SG,0.788,2,9,1,0.856,0.135,0,—,—
evt-41bbafd74ec3,2026-06-01T22:50:00Z,normal-0127,normal_activity,Benign,Cloud,user-008,analytics-warehouse,run_approved_query,AU,0.79,2,16,2,11.518,0.214,0,—,—
evt-38467b8b5a88,2026-06-01T23:00:00Z,normal-0128,normal_activity,Benign,Cloud,user-009,analytics-warehouse,run_approved_query,IN,0.979,2,37,2,7.942,0.217,0,—,—
evt-57189942aa36,2026-06-01T23:06:00Z,normal-0129,normal_activity,Benign,SaaS,user-010,document-store,read_project_document,IN,0.956,2,17,1,4.713,0.021,0,—,—
evt-70e22b8ff8d8,2026-06-01T23:13:00Z,normal-0130,normal_activity,Benign,GitHub,user-011,engineering-repo,list_assigned_issues,US,0.798,2,29,1,0.295,0.2,0,—,—
evt-733458db9317,2026-06-01T23:18:00Z,normal-0131,normal_activity,Benign,Identity,user-012,workforce-sso,interactive_login,US,0.871,2,24,1,0.831,0.06,0,—,—
evt-4be6c233b8a3,2026-06-01T23:24:00Z,normal-0132,normal_activity,Benign,SaaS,user-013,document-store,read_project_document,GB,0.81,2,31,1,0.363,0.156,0,—,—
evt-4ac007941a3b,2026-06-01T23:32:00Z,normal-0133,normal_activity,Benign,SaaS,user-014,document-store,read_project_document,DE,0.964,2,34,1,2.921,0.099,0,—,—
evt-3b8df4f0decd,2026-06-01T23:40:00Z,normal-0134,normal_activity,Benign,Identity,user-015,workforce-sso,interactive_login,SG,0.804,2,35,1,0.238,0.013,0,—,—
evt-b161f9a6e9a5,2026-06-01T23:49:00Z,normal-0135,normal_activity,Benign,AI Agent,user-016,support-agent,agent_summarize_ticket,AU,0.872,2,6,1,0.594,0.12,0,—,—
evt-e0ccb1501457,2026-06-01T23:54:00Z,normal-0136,normal_activity,Benign,Cloud,user-017,analytics-warehouse,run_approved_query,IN,0.972,1,25,2,13.848,0.216,0,—,—
evt-08e357145da3,2026-06-02T00:01:00Z,normal-0137,normal_activity,Benign,Identity,user-018,workforce-sso,interactive_login,IN,0.95,2,22,1,0.747,0.038,0,—,—
evt-0d463c8c8163,2026-06-02T00:08:00Z,normal-0138,normal_activity,Benign,Cloud,user-019,analytics-warehouse,run_approved_query,US,0.919,2,5,2,11.129,0.16,0,—,—
evt-b29be9c007d8,2026-06-02T00:16:00Z,normal-0139,normal_activity,Benign,GitHub,user-020,engineering-repo,list_assigned_issues,US,0.893,2,35,1,1.603,0.109,0,—,—
evt-78057e92b791,2026-06-02T00:20:00Z,normal-0140,normal_activity,Benign,GitHub,user-021,engineering-repo,list_assigned_issues,GB,0.84,2,28,1,0.778,0.197,0,—,—
evt-926e75eadefb,2026-06-02T00:30:00Z,normal-0141,normal_activity,Benign,AI Agent,user-022,support-agent,agent_summarize_ticket,DE,0.839,2,28,1,0.797,0.027,0,—,—
evt-4d724c6fa6c4,2026-06-02T00:38:00Z,normal-0142,normal_activity,Benign,GitHub,user-023,engineering-repo,list_assigned_issues,SG,0.847,2,28,1,0.658,0.045,0,—,—
evt-268d74444bf1,2026-06-02T00:44:00Z,normal-0143,normal_activity,Benign,GitHub,user-024,engineering-repo,list_assigned_issues,AU,0.921,2,4,1,1.753,0.026,0,—,—
evt-40ac48dff323,2026-06-02T00:51:00Z,normal-0144,normal_activity,Benign,AI Agent,user-025,support-agent,agent_summarize_ticket,IN,0.929,2,9,1,0.3,0.024,0,—,—
evt-c9bc09c4ef9d,2026-06-02T00:57:00Z,normal-0145,normal_activity,Benign,GitHub,user-026,engineering-repo,list_assigned_issues,IN,0.862,2,37,1,0.162,0.039,0,—,—
evt-2516deecef4c,2026-06-02T01:04:00Z,normal-0146,normal_activity,Benign,Cloud,user-027,analytics-warehouse,run_approved_query,US,0.894,2,8,2,2.475,0.065,0,—,—
evt-c7e4843c3a12,2026-06-02T01:11:00Z,normal-0147,normal_activity,Benign,SaaS,user-028,document-store,read_project_document,US,0.807,2,29,1,1.445,0.046,0,—,—
